Date,S&P500_ret,S&P500_ma5,S&P500_ma21,S&P500_vol21,S&P500_rsi14,S&P500_mom10,S&P500_zscore21,FTSE100_ret,FTSE100_ma5,FTSE100_ma21,FTSE100_vol21,FTSE100_rsi14,FTSE100_mom10,FTSE100_zscore21,Nikkei225_ret,Nikkei225_ma5,Nikkei225_ma21,Nikkei225_vol21,Nikkei225_rsi14,Nikkei225_mom10,Nikkei225_zscore21,EEM_ret,EEM_ma5,EEM_ma21,EEM_vol21,EEM_rsi14,EEM_mom10,EEM_zscore21,Gold_ret,Gold_ma5,Gold_ma21,Gold_vol21,Gold_rsi14,Gold_mom10,Gold_zscore21,UST10Y_ret,UST10Y_ma5,UST10Y_ma21,UST10Y_vol21,UST10Y_rsi14,UST10Y_mom10,UST10Y_zscore21
2010-02-04,-3.494222040888444,2.230602913974159,2.6076987060727013,0.7547929014984063,-2.2333630220729823,-2.0895975988237114,-1.8445323386437467,-2.2972902768664984,1.5714649780289043,2.023578705424118,0.05871961977063268,-2.1582998937384876,-1.4023489306400483,-1.3354495316715609,-0.3980062089115235,-0.28315322873834675,0.8089418233343225,-0.0148876247815666,-0.948353773613109,-1.301309139298932,-0.94073492179575,-3.060827209470569,2.2912385361722203,2.7525382335676514,0.6807169822073901,-2.31951191358551,-1.9324533968663602,-1.4477960936316852,-3.0976683235675813,2.611197541719874,1.7317070501642613,0.8964848495481528,-1.4463769579170696,-0.9086988791026547,-1.6472404738502378,-1.095726595253986,0.32028172568881125,0.3113761220555126,-1.150077119133952,-0.9038961395102079,-0.0041231439248740455,-0.7869828988452089
2010-02-05,0.2618641639392778,1.782620969815459,2.307306734701448,0.7535955965331841,-2.087102504830397,-1.130089326948845,-1.5890932822495927,-1.6175047281898143,2.5903138005918596,2.553872280737225,0.10855764840897564,-2.5269350795157735,-1.7229788108287205,-1.5510208435739736,-2.31550823218207,1.624454224074569,1.6578667682238426,0.22190289902618646,-1.6637461193279068,-1.3814841693665798,-1.650066081126076,-0.8572563784206668,2.698688293648989,2.9063575866371707,0.6389482718245173,-2.467811780352926,-1.6581836083495087,-1.4460440070400127,0.28415195009388555,2.103963605855449,1.5208568071542452,0.9091352794010193,-1.3103096195521673,-0.762869516614961,-1.3487114167107193,-0.767133471008358,0.9092929673665686,0.5974907887690085,-1.1911042122289095,-1.3587666374453984,-0.21262423414494874,-1.2862565524694898
2010-02-08,-1.0212910330761789,2.0835532673630808,2.5848990661413884,0.7614254636385723,-2.3033870923391713,-1.6450820717807404,-1.6644204831796703,0.6205062549309937,1.407263517779898,2.078385614654005,0.1565615646835972,-2.145552810592081,-1.2317722283383494,-1.255756356690094,-0.8545972808330459,2.032151022371673,1.8861435040164822,0.21916432021941468,-1.8633305791166357,-1.455629459427676,-1.6966563389441804,-0.7649582500993192,2.487401329389655,2.996979683560574,0.6188777963762977,-2.592646256144517,-2.078820552083117,-1.429746826461717,-0.6262447324897332,1.9196672228015268,1.6373335127212223,0.73232692936749,-1.4552684197376642,-1.034653566159946,-1.3763973733618922,0.5726760243401459,0.24375818839838334,0.3019596069848801,-1.2002713938132215,-0.8236333604296274,-0.1540233733012158,-0.7546956406242489
2010-02-09,1.3565207292864558,0.11900622349453403,1.7738266128712328,0.8553629884154725,-1.6629016109051327,-0.9884905436118875,-1.216826843907879,0.37516701903181976,0.3997743966739025,1.7262530645634198,0.1866331074777098,-1.9128198070547495,-1.2084935810538073,-1.0618618753695348,-0.18351450479007686,1.5430332084041107,1.8373931289001921,0.21959634125968922,-1.8986543272287868,-1.0737615369283255,-1.5456649352090355,2.387006390693325,-0.373072056646796,1.6982189526236473,0.9787530355253115,-1.469748225126134,-0.7639363213748288,-0.8866376177241808,1.296401785003772,0.042031196475838535,1.0104714383675986,0.8540726332179983,-0.8658403067445043,-0.6623183703915292,-0.8689077964475488,0.5056617109595323,-0.2173939345080872,0.04570465429250408,-1.1616286538067555,-0.39308578399541105,0.01210573246779243,-0.25742029051989707
2010-02-10,-0.29596630933988904,-0.20959892282570605,1.7194565124172094,0.8395956407284956,-1.7267330779502215,-1.2615281903578581,-1.1966211512286953,0.3878214293932418,-0.4262933065166629,1.3757846768939133,0.2068575787954496,-1.6717323419529617,-0.6748818062916137,-0.8882575743903113,0.2079563369126423,0.6863873950625848,1.6120595769590296,0.16717272770796152,-1.7617163472688653,-0.8274422736885569,-1.3348734086340088,-0.21317481987805562,-0.7301981560468486,1.5750611191781894,0.9373495200994901,-1.5163176458458785,-0.7657296799172278,-0.8622070489205147,-0.28827144895449186,-0.332307189300565,1.010384406837301,0.8260734935965989,-0.9428459108507995,-0.4530828556118454,-0.8790636317869733,0.7364585982170956,-0.8976645504544841,-0.285580391983336,-1.0792284891467645,0.17053776164924064,0.20176925656810957,0.631654013028844
2010-02-12,0.696182835632701,-0.6724418700526913,1.2443426968905305,0.8723313577924668,-1.3923999452407554,-0.5356774238498404,-0.9382724482498084,0.19057411893456638,-0.6079416559223222,1.133585465683897,0.21933963170061205,-1.5445420428665282,-0.11028964012283239,-0.7683147393917812,0.9599937714305823,-0.5990888021676012,1.0849773751616885,0.2141259520231369,-1.2252996996106924,-0.8977960695800524,-0.9606651064609032,0.9851272458721111,-1.3469251492318384,0.9713088800468939,0.9809003258731255,-1.088241528936495,-0.24396202315851706,-0.5916691895148013,1.7985014285606407,-1.522372341441446,0.2285977888350261,1.0082503515586416,-0.2212679540047073,0.11995332807183197,-0.23311905608271413,-0.0002111901026334419,-0.7063677403305437,-0.2868149580609979,-1.20532134263927,0.16130949355148358,0.14068351533865214,0.6484841170105898
2010-02-16,1.8878968934169624,-1.9287151559077975,0.2579964858372201,0.9980619502228119,-0.6279902168695669,0.5612324619286376,-0.35368460483653125,2.0094484358598814,-1.7751458978548669,0.15053069134866331,0.5029646758239884,-0.4763923272081093,0.2957499893042111,-0.14058670307621118,-0.4836306169393349,-0.22391180216102297,1.1663856667266956,0.1845121058087582,-1.367692525005564,-0.5279234265378945,-1.0171227376038134,1.889861553385683,-2.2731661644292966,0.02218896747654616,1.1631030315388107,-0.36740758535250734,0.716531793961601,-0.09436221110347576,2.3705743233708665,-2.5488005161550116,-0.7325217958849356,1.242582057707617,0.5126116741774396,1.0272195827479242,0.6641430142421976,-0.33163103303440394,-0.13471189783647444,-0.1718579059032284,-1.2762189328429558,-0.10955380093186352,0.22410454808194968,0.35975167849710743
2010-02-17,0.40720405357071005,-1.5569016405767968,-0.05075685482640099,1.0062430044314807,-0.4644244017075019,0.1645199165433105,-0.13336653508362756,0.6197871217813284,-1.685323220563506,-0.2159376740338997,0.5165009923726477,-0.19100168655686853,0.11126826113302186,0.1370297862077266,2.051417277182697,-1.6099267417045822,0.23413839133807107,0.3478715302921586,-0.41040334319844285,0.1198263574311059,-0.30439073479816153,0.24975994786504155,-1.54720856905959,-0.20187027534365695,1.1735471725806779,-0.2739507637246256,0.1043858259661967,0.0491654773851712,-0.35091655758471046,-1.643479131349749,-0.6497171928775577,1.2321266078659319,0.3922222669229756,0.21436789513019916,0.6443313442755937,0.9286000680654244,-0.6482147403452686,-0.5496854743988048,-1.1935243399672204,0.5730015963368725,0.3541797792908564,1.677388354199537
2010-02-18,0.6611162616018812,-1.545539265483369,-0.4287117384989383,0.9989732423389389,-0.21397677895601133,-0.08601763602155714,0.17745563744315962,0.9282434537389527,-1.7741101855686001,-0.6741214667472748,0.557593271062134,0.20471207843986497,0.19532296678348052,0.5416897917866962,0.18234969799458645,-1.2489243428013628,0.055224625234143454,0.32958105334548526,-0.32325526608908345,-0.21327986971540006,-0.14475202207231977,0.26770174324395957,-1.2117694244945514,-0.40771742436912595,1.167279520724848,-0.170573109549271,-0.009089584252622998,0.20604644726133084,0.6537727732058605,-1.4778968977507823,-0.9206625223727545,1.2147860982907017,0.5816031229970818,0.19833400591897146,0.9637534355588555,0.7155106049485801,-0.9237540079737493,-0.8066948845118819,-1.2031567520068491,1.0113214658168668,0.6797403743382616,2.1189563210904154
2010-02-19,0.18477134784857432,-1.0094354685764597,-0.6192953351912643,0.9229852466887896,-0.1305127385237327,0.21807783476703335,0.44888845613387657,0.6216879122779341,-1.5471918854076179,-1.0083581566838165,0.5122486652108529,0.45536642777970127,0.6277956630411246,0.9733961089796374,-1.649774249605482,0.44110867713215485,0.6091076247650243,0.3375764594441861,-0.8967263676813431,-0.7996622762203313,-0.7083074407281413,-0.660131229868463,-0.10860776207697079,-0.267324065104535,1.0542497386521816,-0.4052637674097124,-0.0817012370963533,0.1550339493683901,-0.4776920348623593,-0.3201639400775043,-0.777225752790131,1.2026823633643267,0.4037361100226966,0.17648516091802216,0.8828205281781231,-0.22948101381291391,-0.5184971812683581,-0.6917941246330026,-1.2041730218010747,0.7988641684073037,0.3137436336528422,1.6266272950240717
