Date,S&P500,FTSE100,Nikkei225,EEM,Gold,UST10Y
2010-01-04,1132.989990234375,5500.2998046875,10654.7900390625,30.785860061645508,109.80000305175781,3.8410000801086426
2010-01-05,1136.52001953125,5522.5,10681.830078125,31.00930404663086,109.69999694824219,3.755000114440918
2010-01-06,1137.1400146484375,5530.0,10731.4501953125,31.074182510375977,111.51000213623047,3.808000087738037
2010-01-07,1141.68994140625,5526.7001953125,10681.66015625,30.89398193359375,110.81999969482422,3.822000026702881
2010-01-08,1144.97998046875,5534.2001953125,10798.3203125,31.139049530029297,111.37000274658203,3.808000087738037
2010-01-12,1136.219970703125,5498.7001953125,10879.1396484375,30.576818466186523,110.48999786376953,3.7190001010894775
2010-01-13,1145.6800537109375,5473.5,10735.0302734375,30.67052459716797,111.54000091552734,3.7829999923706055
2010-01-14,1148.4599609375,5498.2001953125,10907.6796875,30.59123992919922,112.02999877929688,3.7339999675750732
2010-01-15,1136.030029296875,5455.39990234375,10982.099609375,30.238056182861328,110.86000061035156,3.6760001182556152
2010-01-19,1150.22998046875,5513.10009765625,10764.900390625,30.850723266601562,111.5199966430664,3.7070000171661377
2010-01-20,1138.0400390625,5420.7998046875,10737.51953125,30.108291625976562,108.94000244140625,3.6589999198913574
2010-01-21,1116.47998046875,5335.10009765625,10868.41015625,29.20006561279297,107.37000274658203,3.6110000610351562
2010-01-22,1091.760009765625,5303.0,10590.5498046875,28.55134391784668,107.16999816894531,3.5980000495910645
2010-01-25,1096.780029296875,5260.2998046875,10512.6904296875,28.760377883911133,107.4800033569336,3.630000114440918
2010-01-26,1092.1700439453125,5276.89990234375,10325.2802734375,28.162092208862305,107.55999755859375,3.630000114440918
2010-01-27,1097.5,5217.5,10252.080078125,28.09002113342285,106.52999877929688,3.6440000534057617
2010-01-28,1084.530029296875,5145.7001953125,10414.2900390625,27.895397186279297,106.4800033569336,3.6579999923706055
2010-01-29,1073.8699951171875,5188.5,10198.0400390625,27.592660903930664,105.95999908447266,3.6089999675750732
2010-02-01,1089.18994140625,5247.39990234375,10205.01953125,28.335102081298828,108.3499984741211,3.6540000438690186
2010-02-02,1103.3199462890625,5283.2998046875,10371.08984375,28.56575584411621,109.12999725341797,3.634999990463257
2010-02-03,1097.280029296875,5253.2001953125,10404.330078125,28.399978637695312,108.69999694824219,3.703000068664551
2010-02-04,1063.1099853515625,5139.2998046875,10355.98046875,27.116926193237305,104.37000274658203,3.609999895095825
2010-02-05,1066.18994140625,5060.89990234375,10057.08984375,26.814184188842773,104.68000030517578,3.5460000038146973
2010-02-08,1056.739990234375,5092.2998046875,9951.8203125,26.547496795654297,104.04000091552734,3.5920000076293945
2010-02-09,1070.52001953125,5111.7998046875,9932.900390625,27.41245460510254,105.41000366210938,3.632999897003174
2010-02-10,1068.1300048828125,5132.0,9963.990234375,27.340373992919922,105.12000274658203,3.694000005722046
2010-02-12,1075.510009765625,5142.5,10092.1904296875,27.707990646362305,107.04000091552734,3.693000078201294
2010-02-16,1094.8699951171875,5244.10009765625,10034.25,28.42159652709961,109.62000274658203,3.6640000343322754
2010-02-17,1099.510009765625,5276.60009765625,10306.830078125,28.522504806518555,109.25,3.742000102996826
2010-02-18,1106.75,5325.10009765625,10335.6904296875,28.630624771118164,109.9800033569336,3.802999973297119
2010-02-19,1109.1700439453125,5358.2001953125,10123.580078125,28.385547637939453,109.47000122070312,3.7820000648498535
2010-02-22,1108.010009765625,5352.10009765625,10400.4697265625,28.42159652709961,109.06999969482422,3.7990000247955322
2010-02-23,1094.5999755859375,5315.10009765625,10352.099609375,27.765655517578125,107.88999938964844,3.690999984741211
2010-02-24,1105.239990234375,5342.89990234375,10198.830078125,28.032358169555664,107.36000061035156,3.694999933242798
2010-02-25,1102.93994140625,5278.2001953125,10101.9599609375,27.801700592041016,108.30999755859375,3.6419999599456787
2010-02-26,1104.489990234375,5354.5,10126.0302734375,28.082809448242188,109.43000030517578,3.5950000286102295
2010-03-01,1115.7099609375,5405.89990234375,10172.0595703125,28.558547973632812,109.43000030517578,3.6059999465942383
2010-03-02,1118.31005859375,5484.10009765625,10221.83984375,28.882917404174805,111.0199966430664,3.614000082015991
2010-03-03,1118.7900390625,5533.2001953125,10253.1396484375,28.918964385986328,111.62999725341797,3.625
2010-03-04,1122.969970703125,5527.2001953125,10145.7197265625,28.767587661743164,110.83000183105469,3.6059999465942383
2010-03-05,1138.699951171875,5599.7998046875,10368.9599609375,29.517230987548828,110.80999755859375,3.681999921798706
2010-03-08,1138.5,5606.7001953125,10585.919921875,29.538848876953125,109.87999725341797,3.7079999446868896
2010-03-09,1140.449951171875,5602.2998046875,10567.650390625,29.704635620117188,109.72000122070312,3.7009999752044678
2010-03-10,1145.6099853515625,5640.60009765625,10563.919921875,29.91367530822754,108.47000122070312,3.7200000286102295
2010-03-11,1150.239990234375,5617.2998046875,10664.9501953125,29.920875549316406,108.5999984741211,3.7200000286102295
2010-03-12,1149.989990234375,5625.7001953125,10751.259765625,29.819961547851562,107.94999694824219,3.7100000381469727
2010-03-15,1150.510009765625,5593.89990234375,10751.98046875,29.603731155395508,108.36000061035156,3.7039999961853027
2010-03-16,1159.4599609375,5620.39990234375,10721.7099609375,29.985759735107422,110.4000015258789,3.6530001163482666
2010-03-17,1166.2099609375,5644.60009765625,10846.98046875,30.310121536254883,109.58999633789062,3.6419999599456787
2010-03-18,1165.8299560546875,5642.60009765625,10744.0302734375,30.079458236694336,110.33999633789062,3.671999931335449
